id,description,summary,category,urgency
REC0015,Mon imprimante OfficeJet refuse les cartouches compatibles. Message erreur cartouche non reconnue. Les cartouches HP originales fonctionnent. Ce n'était pas le cas avant la dernière mise à jour firmware.,Cartouches compatibles rejetées après mise à jour firmware.,Printer,Low
REC0016,Le clavier rétroéclairé de mon EliteBook ne s'allume plus. J'ai vérifié les paramètres dans le BIOS. La fonction est activée mais pas d'éclairage. Garantie active encore 6 mois.,Rétroéclairage clavier inactif paramètres BIOS vérifiés.,Hardware,Medium
REC0017,Mon LaserJet Pro imprime avec des traînées noires verticales. J'ai remplacé le tambour d'imagerie. Le problème persiste. Nettoyage effectué plusieurs fois. Appareil de 2 ans.,Traînées noires verticales tambour remplacé nettoyages multiples.,Printer,High
REC0018,La webcam de mon Pavilion affiche une image verte. Le son fonctionne normalement en visioconférence. J'ai testé avec plusieurs applications même problème. Drivers réinstallés.,Webcam image verte son OK testé multi-applications.,Hardware,Medium
REC0019,Mon imprimante ZBook émet un bruit de grincement lors de l'impression. La qualité d'impression n'est pas affectée. Le bruit est apparu progressivement. Appareil de 18 mois.,Bruit grincement impression qualité non affectée.,Printer,Low
REC0020,Impossible d'installer les pilotes d'imprimante sur Windows 11. Message erreur 0x00000709. J'ai essayé en mode administrateur. L'imprimante fonctionne sur un autre PC.,Installation pilotes échoue erreur 0x00000709 Windows 11.,Software,High
REC0021,Le port HDMI de mon EliteBook ne fonctionne plus. Aucun signal détecté sur l'écran externe. J'ai testé avec plusieurs câbles et écrans. Les ports USB-C fonctionnent normalement.,Port HDMI inactif câbles et écrans testés USB-C fonctionnel.,Hardware,Critical
REC0022,Mon OfficeJet Pro imprime trop lentement depuis une semaine. Vitesse divisée par 3. J'ai vérifié les paramètres qualité d'impression. Connexion réseau stable. Aucune mise à jour récente.,Vitesse impression réduite paramètres vérifiés réseau stable.,Printer,Medium
REC0023,La batterie de mon ProBook ne charge plus au-delà de 60%. Le message indique batterie en bon état. J'ai calibré la batterie sans amélioration. Appareil de 14 mois.,Batterie plafonne à 60% calibration inefficace état bon.,Hardware,High
REC0024,Mon imprimante LaserJet affiche erreur bourrage papier alors qu'il n'y en a pas. J'ai vérifié tous les compartiments. Capteurs nettoyés. Le problème survient à chaque tentative d'impression.,Fausse erreur bourrage papier capteurs nettoyés compartiments vides.,Printer,Critical
REC0025,Le lecteur de carte SD de mon ZBook ne lit plus les cartes. J'ai testé plusieurs cartes fonctionnelles. Le lecteur est détecté dans le gestionnaire de périphériques. Drivers à jour.,Lecteur SD non fonctionnel cartes testées OK drivers à jour.,Hardware,Medium
REC0026,Mon Pavilion affiche un écran bleu IRQL_NOT_LESS_OR_EQUAL au démarrage. Le mode sans échec fonctionne. J'ai lancé un diagnostic mémoire sans erreur détectée. Problème depuis 2 jours.,Écran bleu IRQL au démarrage mode sans échec OK mémoire testée.,Software,Critical
REC0027,L'impression recto-verso de mon OfficeJet est décalée. Le verso n'est pas aligné avec le recto. J'ai effectué l'alignement automatique. Le problème persiste. Appareil de 10 mois.,Recto-verso décalé alignement automatique inefficace.,Printer,Low
REC0028,Mon EliteBook ne reconnaît plus la station d'accueil. Tous les périphériques connectés sont invisibles. La station fonctionne avec un autre laptop. Firmware station à jour.,Station accueil non reconnue périphériques invisibles testée OK ailleurs.,Hardware,High
REC0029,Mon imprimante ProBook affiche un niveau d'encre incorrect. Les cartouches sont neuves mais indiquées vides. L'impression fonctionne normalement. Réinitialisation effectuée sans effet.,Niveau encre erroné cartouches neuves impression fonctionnelle.,Printer,Low
REC0030,Le touchscreen de mon ZBook ne répond plus dans le coin supérieur droit. Le reste de l'écran fonctionne. Calibration effectuée. Problème matériel suspecté. Garantie active.,Touchscreen coin supérieur droit inactif calibration faite.,Hardware,Medium
REC0031,Mon LaserJet Pro imprime des caractères manquants aléatoirement. Police et taille variables. J'ai réinstallé les polices système. Testé avec différents documents. Appareil de 8 mois.,Caractères manquants aléatoires polices réinstallées multi-documents.,Printer,High
REC0032,La sortie audio de mon Pavilion grésille en permanence. Casque et haut-parleurs affectés. J'ai désinstallé et réinstallé les pilotes audio. Problème matériel ou logiciel incertain.,Audio grésillement permanent casque et HP pilotes réinstallés.,Hardware,Medium
REC0033,Mon imprimante OfficeJet refuse d'imprimer depuis le bac 2. Le bac 1 fonctionne normalement. J'ai vérifié les paramètres d'alimentation papier. Capteur bac 2 potentiellement défaillant.,Bac 2 non fonctionnel bac 1 OK paramètres vérifiés.,Printer,Low
REC0034,Le mode veille de mon EliteBook ne fonctionne plus. L'ordinateur s'éteint complètement au lieu de se mettre en veille. Paramètres d'alimentation vérifiés. Problème depuis mise à jour BIOS.,Mode veille défaillant extinction complète post mise à jour BIOS.,Software,Medium
REC0035,Mon ZBook affiche des artefacts graphiques aléatoires. Lignes colorées et pixels morts temporaires. J'ai mis à jour les pilotes graphiques. Problème intermittent. Garantie expire dans 1 mois.,Artefacts graphiques aléatoires pilotes à jour problème intermittent.,Hardware,Critical
REC0036,Mon imprimante LaserJet imprime des pages avec des taches d'encre. Nettoyage des têtes effectué 5 fois. Cartouches remplacées. Le problème s'aggrave. Appareil de 15 mois.,Taches encre persistantes nettoyages multiples cartouches neuves.,Printer,High
REC0037,Le lecteur DVD de mon ProBook ne lit plus les disques. Il les éjecte immédiatement. J'ai nettoyé la lentille. Testé avec plusieurs disques. Lecteur détecté dans système.,Lecteur DVD éjection immédiate lentille nettoyée disques testés.,Hardware,Low
REC0038,Mon OfficeJet Pro perd la connexion WiFi après chaque impression. Reconnexion manuelle nécessaire. Firmware à jour. Routeur redémarré. Autres appareils stables sur le réseau.,WiFi déconnexion post-impression firmware à jour réseau stable.,Network,Medium
REC0039,La touche Entrée de mon clavier EliteBook nécessite une pression très forte. Les autres touches fonctionnent normalement. Nettoyage effectué. Problème mécanique suspecté. Garantie active.,Touche Entrée dure autres touches OK nettoyage fait.,Hardware,Low
REC0040,Mon imprimante Pavilion affiche erreur E8 lors du démarrage. Extinction et rallumage sans effet. Manuel utilisateur ne référence pas ce code. Impossible d'accéder aux fonctions. Appareil de 11 mois.,Erreur E8 démarrage code non documenté fonctions inaccessibles.,Printer,Critical
REC0041,Le port Ethernet de mon ZBook négocie uniquement à 100Mbps au lieu de 1Gbps. Câble Cat6 testé OK. Switch compatible Gigabit. Pilotes réseau réinstallés. Problème persiste.,Ethernet 100Mbps au lieu 1Gbps câble OK pilotes réinstallés.,Network,Medium
REC0042,Mon LaserJet Pro imprime en miroir malgré paramètres corrects. J'ai vérifié dans plusieurs applications. Réinitialisation imprimante effectuée. Problème logiciel firmware suspecté.,Impression miroir paramètres corrects réinitialisation faite.,Printer,High
REC0043,L'écran de mon ProBook scintille à luminosité maximale. Pas de scintillement en dessous de 80%. J'ai mis à jour les pilotes graphiques. Problème matériel dalle suspecté.,Écran scintille luminosité max OK sous 80% pilotes à jour.,Hardware,Medium
REC0044,Mon imprimante OfficeJet consomme de l'encre même sans imprimer. Niveau baisse de 10% par jour. Aucune impression lancée. Nettoyages automatiques désactivés. Appareil de 7 mois.,Consommation encre sans impression 10% par jour nettoyages off.,Printer,High
REC0045,Le microphone intégré de mon EliteBook ne capte que des sons étouffés. Volume au maximum. Testé avec plusieurs applications. Microphone externe fonctionne normalement. Drivers à jour.,Microphone son étouffé volume max externe OK drivers à jour.,Hardware,Low
REC0046,Mon ZBook affiche message erreur TPM lors du démarrage. Démarrage possible après 30 secondes. J'ai vérifié paramètres BIOS. TPM activé. Problème apparu après mise à jour Windows.,Erreur TPM démarrage délai 30s BIOS vérifié post MAJ Windows.,Software,Medium
REC0047,Mon imprimante LaserJet imprime des lignes blanches horizontales. Tambour nettoyé. Cartouche toner secouée. Test d'impression interne montre le même défaut. Appareil de 20 mois.,Lignes blanches horizontales tambour nettoyé test interne défaillant.,Printer,High
REC0048,Le pavé numérique de mon Pavilion ne fonctionne pas. Touche Verr Num activée. Autres touches du clavier OK. J'ai testé en mode sans échec même problème. Garantie expirée.,Pavé numérique inactif Verr Num ON mode sans échec testé.,Hardware,Low
REC0049,Mon OfficeJet Pro imprime des documents déformés. Proportions incorrectes. Paramètres échelle vérifiés à 100%. Problème sur tous types de documents. Réinitialisation sans effet.,Documents déformés échelle 100% tous types réinitialisation faite.,Printer,Medium
REC0050,La luminosité de l'écran de mon EliteBook ne s'ajuste plus. Bloquée à 50%. Raccourcis clavier non fonctionnels. Paramètres Windows inaccessibles pour luminosité. Drivers graphiques à jour.,Luminosité bloquée 50% raccourcis inactifs drivers à jour.,Hardware,Medium
REC0051,Mon imprimante ZBook affiche erreur mémoire pleine. Seulement 2 pages en file d'attente. J'ai redémarré l'imprimante. Mémoire indiquée 512MB. Problème récurrent depuis 1 semaine.,Erreur mémoire pleine 2 pages queue 512MB récurrent.,Printer,High
REC0052,Le lecteur d'empreintes de mon ProBook ne reconnaît plus aucune empreinte. J'ai supprimé et réenregistré. Capteur nettoyé. Windows Hello désactivé puis réactivé. Garantie active.,Lecteur empreintes non fonctionnel réenregistrement fait Hello réactivé.,Hardware,Medium
REC0053,Mon LaserJet Pro imprime avec une marge incorrecte à gauche. 2cm au lieu de 1cm configuré. Paramètres vérifiés dans pilote et applications. Alignement papier correct. Appareil de 9 mois.,Marge gauche incorrecte 2cm au lieu 1cm paramètres vérifiés.,Printer,Low
REC0054,Mon Pavilion ne détecte plus le réseau 5GHz. Uniquement 2.4GHz visible. Carte WiFi compatible 5GHz. J'ai réinstallé les pilotes. Autres appareils voient le 5GHz. Problème depuis 4 jours.,Réseau 5GHz invisible 2.4GHz OK carte compatible pilotes réinstallés.,Network,High
REC0055,Mon imprimante OfficeJet affiche des couleurs incorrectes. Rouge imprimé en orange. J'ai effectué calibration couleur. Profils ICC vérifiés. Cartouches couleur neuves. Appareil de 13 mois.,Couleurs incorrectes rouge en orange calibration faite cartouches neuves.,Printer,Medium
REC0056,Le bouton power de mon EliteBook nécessite plusieurs pressions pour démarrer. Parfois 5 à 6 tentatives. Une fois démarré tout fonctionne normalement. Problème mécanique suspecté.,Bouton power multiples pressions nécessaires fonctionnement OK après.,Hardware,High
REC0057,Mon ZBook affiche erreur disque dur imminent. SMART status warning. J'ai sauvegardé les données. Diagnostic constructeur confirme défaillance. Appareil de 16 mois garantie active.,Erreur disque SMART warning données sauvegardées diagnostic confirme.,Hardware,Critical
REC0058,Mon imprimante LaserJet refuse les travaux d'impression réseau. Impression USB fonctionne. Ping imprimante OK. J'ai réinstallé pilote réseau. Pare-feu désactivé pour test. Problème persiste.,Impression réseau refusée USB OK ping OK pilote réinstallé.,Network,High
REC0059,L'écran de mon ProBook affiche une teinte jaunâtre. Calibration couleur effectuée. Problème présent sur batterie et secteur. Câble écran interne suspecté. Garantie expire dans 2 semaines.,Écran teinte jaune calibration faite batterie et secteur câble suspecté.,Hardware,Medium
REC0060,Mon OfficeJet Pro imprime la première page correctement puis les suivantes sont vierges. File d'attente montre toutes les pages. Mémoire imprimante suffisante. Appareil de 5 mois.,Première page OK suivantes vierges queue complète mémoire OK.,Printer,High
REC0061,Le trackpoint de mon EliteBook dérive vers la droite. Calibration effectuée sans amélioration. Nettoyage fait. Souris externe fonctionne normalement. Drivers à jour.,Trackpoint dérive droite calibration faite souris externe OK.,Hardware,Low
REC0062,Mon imprimante Pavilion émet une odeur de brûlé lors de l'impression. J'ai immédiatement arrêté utilisation. Aucune fumée visible. Appareil de 22 mois garantie expirée. Inspection nécessaire.,Odeur brûlé impression arrêt immédiat pas de fumée inspection requise.,Printer,Critical
REC0063,Mon ZBook ne charge plus via USB-C. Chargeur d'origine fonctionne. J'ai testé avec plusieurs câbles et chargeurs USB-C. Port détecté pour transfert données. Problème charge uniquement.,USB-C charge impossible chargeur origine OK données OK.,Hardware,High
REC0064,Mon LaserJet Pro imprime des codes QR non scannables. Impression floue sur codes uniquement. Texte et images nets. J'ai augmenté résolution sans amélioration. Appareil de 12 mois.,QR codes non scannables flous texte net résolution augmentée.,Printer,Medium
REC0065,Le ventilateur de mon Pavilion ne démarre plus. Ordinateur surchauffe rapidement. J'ai vérifié connexion ventilateur dans BIOS. Détecté mais 0 RPM. Garantie active.,Ventilateur 0 RPM surchauffe BIOS détecte connexion vérifiée.,Hardware,Critical
REC0066,Mon imprimante OfficeJet imprime des pages avec décalage vertical. Texte coupé en haut et bas. Paramètres marges vérifiés. Alignement papier correct. Rouleaux nettoyés. Appareil de 17 mois.,Décalage vertical texte coupé marges OK rouleaux nettoyés.,Printer,Medium
REC0067,Le port USB-C de mon EliteBook charge lentement. 8 heures pour charge complète au lieu de 2 heures. Chargeur et câble d'origine. Testé autre port USB-C même problème.,USB-C charge lente 8h au lieu 2h origine testé autre port.,Hardware,High
REC0068,Mon ZBook affiche écran noir après logo HP. Curseur souris visible et mobile. Aucune interface Windows. Mode sans échec accessible. Problème depuis mise à jour pilote graphique.,Écran noir post logo curseur visible sans échec OK post MAJ graphique.,Software,High
REC0069,Mon imprimante LaserJet imprime des pages gondolées. Papier correct utilisé. Température et humidité ambiante normales. Four de fusion suspecté. Appareil de 24 mois garantie expirée.,Pages gondolées papier correct température OK four suspecté.,Printer,Medium
REC0070,Le clavier de mon ProBook tape des caractères doubles aléatoirement. Nettoyage effectué. Délai répétition vérifié. Problème sur toutes les touches. Clavier externe fonctionne normalement.,Caractères doubles aléatoires nettoyage fait externe OK.,Hardware,Medium
REC0071,Mon OfficeJet Pro affiche erreur cartouche incompatible avec cartouches HP originales. J'ai retiré et réinséré cartouches. Contacts nettoyés. Firmware à jour. Appareil de 6 mois.,Erreur cartouche incompatible HP originales contacts nettoyés firmware à jour.,Printer,High
REC0072,Mon Pavilion perd connexion WiFi lors de transferts volumineux. Fichiers de plus de 100MB. Petits fichiers OK. J'ai mis à jour firmware routeur. Carte réseau drivers à jour.,WiFi déconnexion gros fichiers 100MB+ petits OK firmware routeur à jour.,Network,Medium
REC0073,Mon imprimante EliteBook imprime avec bandes claires horizontales régulières. Espacement 3cm. Tambour remplacé récemment. Toner neuf. Nettoyage multiple effectué. Appareil de 19 mois.,Bandes claires 3cm tambour neuf toner neuf nettoyages multiples.,Printer,High
REC0074,Le touchpad de mon ZBook clique tout seul aléatoirement. Désactivation du tap-to-click sans effet. Drivers réinstallés. Problème matériel bouton suspecté. Garantie active.,Touchpad clics aléatoires tap-to-click off drivers réinstallés.,Hardware,Medium
REC0075,Mon LaserJet Pro n'imprime plus le noir. Couleurs fonctionnelles. Cartouche noire neuve installée. Têtes nettoyées. Test interne montre noir OK. Problème logiciel suspecté.,Noir non imprimé couleurs OK cartouche neuve test interne OK.,Printer,High
REC0076,Mon ProBook affiche message erreur ventilateur 90B au démarrage. Démarrage possible en appuyant sur Entrée. Ventilateur fonctionne audiblement. Température normale. BIOS à jour.,Erreur ventilateur 90B démarrage OK après Entrée fonctionne température OK.,Hardware,Low
REC0077,Mon imprimante OfficeJet imprime des photos avec bandes verticales. Documents texte OK. J'ai aligné têtes impression. Cartouches photo neuves. Mode photo haute qualité. Appareil de 8 mois.,Photos bandes verticales texte OK têtes alignées cartouches neuves.,Printer,Medium
REC0078,Le Bluetooth de mon EliteBook ne se désactive plus. Bouton paramètres grisé. Gestionnaire périphériques montre erreur code 10. Désinstallation pilote impossible. Problème depuis MAJ Windows.,Bluetooth non désactivable erreur code 10 désinstallation impossible post MAJ.,Software,Low
REC0079,Mon ZBook affiche artefacts lors de lecture vidéo uniquement. Navigation web OK. J'ai testé différents lecteurs vidéo. Pilotes graphiques réinstallés. Accélération matérielle désactivée sans effet.,Artefacts vidéo uniquement web OK lecteurs testés accélération off.,Hardware,Medium
REC0080,Mon imprimante Pavilion bourre papier systématiquement au même endroit. Capteur zone médiane nettoyé. Aucun papier résiduel trouvé. Rouleaux remplacés. Appareil de 26 mois garantie expirée.,Bourrage systématique même endroit capteur nettoyé rouleaux neufs.,Printer,High
REC0081,Le port HDMI de mon ProBook affiche image mais pas de son. Son fonctionne sur haut-parleurs internes. Périphérique HDMI audio détecté. Défini par défaut. Câble testé OK.,HDMI image OK son absent HP internes OK périphérique détecté.,Hardware,Medium
REC0082,Mon OfficeJet Pro imprime des enveloppes de travers. Documents normaux OK. Guide enveloppes ajusté correctement. Paramètres format vérifiés. Plusieurs types enveloppes testés. Appareil de 14 mois.,Enveloppes travers documents OK guide ajusté formats vérifiés.,Printer,Low
REC0083,Mon EliteBook ne reconnaît plus la batterie. Message branché non en charge. Batterie détectée dans BIOS. J'ai réinitialisé EC. Contacts nettoyés. Garantie active.,Batterie non reconnue branché pas charge BIOS détecte EC réinitialisé.,Hardware,High
REC0084,Mon imprimante LaserJet affiche niveau toner bas alors que cartouche neuve installée hier. Compteur non réinitialisé. J'ai retiré et réinséré cartouche. Puce contactée. Appareil de 11 mois.,Toner bas cartouche neuve hier compteur non reset puce contactée.,Printer,Low
REC0085,Le WiFi de mon ZBook fonctionne uniquement proche du routeur. Au-delà de 3 mètres déconnexion. Autres appareils OK partout. Antennes WiFi vérifiées. Drivers à jour. Problème depuis 1 semaine.,WiFi 3m max autres OK partout antennes vérifiées drivers à jour.,Network,High
REC0086,Mon ProBook émet trois bips au démarrage puis démarre normalement. Code bip indique erreur mémoire. Diagnostic mémoire Windows OK. Barrettes réinsérées. Problème persiste. Garantie active.,Trois bips démarrage OK après code mémoire diagnostic OK barrettes réinsérées.,Hardware,Medium
REC0087,Mon imprimante OfficeJet imprime texte correct mais images pixelisées. Résolution paramètres maximale. Pilote réinstallé. Testé différents formats image. Mode brouillon et qualité affectés. Appareil de 9 mois.,Images pixelisées texte OK résolution max pilote réinstallé formats testés.,Printer,Medium
REC0088,L'écran de mon Pavilion ne s'allume pas au réveil de veille. Voyants activité allumés. Connexion écran externe fonctionne. Fermeture capot et réouverture nécessaire. Problème quotidien.,Écran noir réveil veille voyants ON externe OK fermeture nécessaire.,Hardware,High
REC0089,Mon LaserJet Pro imprime des pages avec taches aléatoires. Forme et position variables. Tambour et toner neufs. Chemin papier nettoyé. Problème intermittent 1 page sur 5. Appareil de 21 mois.,Taches aléatoires variables tambour toner neufs intermittent 1/5.,Printer,Medium
REC0090,Le lecteur de carte de mon EliteBook lit les cartes SD mais pas microSD avec adaptateur. Adaptateur testé sur autre lecteur OK. Plusieurs adaptateurs essayés. Drivers à jour.,Lecteur SD OK microSD adaptateur non adaptateur testé OK ailleurs.,Hardware,Low
REC0091,Mon imprimante ZBook affiche erreur communication USB. Connexion réseau fonctionne. J'ai testé différents câbles et ports USB. Imprimante détectée mais erreur lors impression. Appareil de 7 mois.,Erreur communication USB réseau OK câbles ports testés détectée erreur impression.,Printer,Medium
REC0092,Mon ProBook affiche écran bleu VIDEO_TDR_FAILURE régulièrement. 2 à 3 fois par semaine. Pilotes graphiques DDU puis réinstallés. Température GPU normale. Problème aléatoire.,Écran bleu VIDEO_TDR_FAILURE 2-3/semaine pilotes DDU température OK.,Software,High
REC0093,Mon OfficeJet Pro imprime des documents PDF avec polices remplacées. Autres formats OK. J'ai réinstallé Adobe Reader. Testé différents PDF. Polices embarquées dans PDF. Appareil de 16 mois.,PDF polices remplacées autres formats OK Reader réinstallé polices embarquées.,Printer,Low
REC0094,Le capteur de luminosité de mon EliteBook ne fonctionne plus. Luminosité auto désactivée. Capteur détecté dans gestionnaire. J'ai recalibré sans succès. Ajustement manuel fonctionne. Garantie active.,Capteur luminosité inactif auto off détecté recalibré manuel OK.,Hardware,Low
REC0095,Mon imprimante Pavilion imprime des lignes verticales colorées sur photos uniquement. Documents texte non affectés. Buses nettoyées 10 fois. Cartouches alignées. Mode photo et normal affectés. Appareil de 18 mois.,Lignes verticales colorées photos uniquement texte OK buses nettoyées 10x.,Printer,High
REC0096,Mon ZBook ne démarre plus sur batterie seule. Fonctionne uniquement branché secteur. Batterie indique 100% chargée. Santé batterie 95%. Problème apparu soudainement. Garantie active.,Démarrage secteur uniquement batterie 100% santé 95% soudain.,Hardware,Critical
REC0097,Mon LaserJet Pro imprime avec décalage couleur. Cyan décalé de 2mm vers droite. J'ai effectué alignement couleur automatique 5 fois. Problème persiste. Impression noir OK. Appareil de 23 mois.,Décalage cyan 2mm droite alignement 5x noir OK.,Printer,High
REC0098,Le port USB 3.0 de mon ProBook fonctionne en USB 2.0 uniquement. Périphériques USB 3.0 détectés mais vitesse limitée. Autres ports USB 3.0 OK. Pilotes contrôleur USB à jour.,USB 3.0 vitesse 2.0 périphériques détectés autres ports OK pilotes à jour.,Hardware,Medium
REC0099,Mon imprimante OfficeJet refuse papier photo. Papier normal OK. Message erreur type papier. Paramètres bac configurés photo. J'ai testé différentes marques papier photo. Appareil de 10 mois.,Papier photo refusé normal OK erreur type paramètres photo marques testées.,Printer,Medium
REC0100,Mon Pavilion affiche notification batterie faible à 50%. Calibration effectuée. Batterie remplacée il y a 2 mois. Problème apparu après mise à jour BIOS. Santé batterie indiquée excellente.,Notification batterie 50% calibrée remplacée 2 mois post MAJ BIOS.,Software,Low
REC0101,Mon EliteBook produit son crachotant lors ajustement volume. Son normal sinon. Pilotes audio Realtek réinstallés. Testé casque et haut-parleurs. Problème sur les deux. Garantie active.,Son crachotant ajustement volume normal sinon pilotes réinstallés casque HP.,Hardware,Low
REC0102,Mon imprimante LaserJet imprime fond gris au lieu de blanc. Densité toner ajustée. Tambour nettoyé. Cartouche toner neuve. Problème sur tous types documents. Appareil de 27 mois garantie expirée.,Fond gris au lieu blanc densité ajustée tambour nettoyé toner neuf.,Printer,Medium
REC0103,Le touchpad de mon ZBook ne fonctionne que dans moitié supérieure. Zone inférieure non réactive. Calibration effectuée. Pilotes Synaptics réinstallés. Souris externe OK. Garantie active.,Touchpad moitié supérieure uniquement inférieure morte calibrée pilotes réinstallés.,Hardware,Medium
REC0104,Mon OfficeJet Pro imprime emails avec mise en page incorrecte. Autres documents OK. Testé différents clients email. Impression PDF email OK. Problème impression directe email. Appareil de 12 mois.,Emails mise en page incorrecte autres OK clients testés PDF OK.,Printer,Low
REC0105,Mon ProBook ne détecte plus réseau après mise en veille prolongée. Redémarrage nécessaire. Veille courte OK. Paramètres gestion alimentation carte réseau vérifiés. Drivers à jour.,Réseau absent veille prolongée redémarrage requis veille courte OK paramètres vérifiés.,Network,Medium
REC0106,Mon imprimante Pavilion éjecte papier avant impression complète. Derniers 2cm non imprimés. Rouleaux entraînement nettoyés. Capteur fin papier vérifié. Différents types papier testés. Appareil de 15 mois.,Éjection prématurée 2cm non imprimés rouleaux nettoyés capteur vérifié.,Printer,High
REC0107,L'écran de mon EliteBook affiche lignes verticales roses intermittentes. Disparaissent après 10 minutes utilisation. Câble écran interne suspecté. Problème quotidien au démarrage. Garantie active.,Lignes verticales roses intermittentes disparaissent 10min câble suspecté quotidien.,Hardware,High
REC0108,Mon LaserJet Pro imprime codes-barres non scannables. Impression floue codes uniquement. Résolution maximale. Texte net. Différents types codes-barres testés. Appareil de 13 mois.,Codes-barres non scannables flous résolution max texte net types testés.,Printer,High
REC0109,Le ventilateur de mon ZBook tourne par à-coups. Accélération puis arrêt répétés. Température stable. Courbe ventilateur BIOS vérifiée. Nettoyage effectué. Problème depuis 1 semaine.,Ventilateur à-coups accélération arrêt température stable courbe BIOS OK.,Hardware,Medium
REC0110,Mon imprimante OfficeJet imprime première ligne coupée. Marge supérieure ignorée. Paramètres marges vérifiés applications et pilote. Alignement papier correct. Appareil de 19 mois.,Première ligne coupée marge supérieure ignorée paramètres vérifiés alignement OK.,Printer,Medium
REC0111,Mon ProBook charge batterie jusqu'à 100% puis décharge à 95% en boucle même branché. Voyant charge clignote. Paramètres batterie vérifiés. Santé batterie bonne. Problème depuis MAJ BIOS.,Charge 100% décharge 95% boucle branché voyant clignote post MAJ BIOS.,Hardware,Low
REC0112,Mon Pavilion affiche erreur Secure Boot lors installation Linux. Windows démarre normalement. Secure Boot désactivé dans BIOS. Clé USB bootable vérifiée autre PC. Appareil de 8 mois.,Erreur Secure Boot Linux Windows OK désactivé BIOS clé vérifiée.,Software,Medium
REC0113,Mon imprimante EliteBook imprime photos avec dominante magenta. Documents texte couleurs OK. Calibration couleur effectuée. Profil ICC photo installé. Cartouches couleur neuves. Appareil de 14 mois.,Photos dominante magenta texte OK calibration faite profil ICC cartouches neuves.,Printer,Medium
